;number;w1_Dn;w1_Расход_min, m3/h ;w1_Расход_max, m3/h;w1_Qmin, gcal/h;w1_Qmax, gcal / h;t3_Dn;t4_Dn;t2_Dn;t2_delta_t;t2_Расход_min, m3/h ;t2_Расход_max, m3/h;t2_Qmin_part1, gcal/h;t2_Qmax_part1, gcal / h;Qmin_part2, gcal/h;Qmax_part2, gcal / h;t12_Dn;t12_Расход_min, m3/h ;t12_delta_t;part1_%;part2_%
0;;;;;;;;;;;;;;;;;;;;;
1;4;25;0.707;1.06;0.042;0.064;32;20;25;15;0.883;1.413;0.013;0.021;0.029;0.042;32;1.447;20;31.25;68.75
2;5;25;0.707;1.06;0.042;0.064;32;20;32;15;1.447;2.315;0.022;0.035;0.021;0.029;25;0.883;23;51.2;48.8
3;;;;;;;;;;;;;;;;;;;;;
4;7.0;32.0;1.158;1.736;0.069;0.104;40.0;20.0;32.0;15.0;1.447;2.315;0.022;0.035;0.048;0.069;40.0;2.261;21.0;31.25;68.75
5;8.0;32.0;1.158;1.736;0.069;0.104;40.0;20.0;40.0;15.0;2.261;3.617;0.034;0.054;0.036;0.05;32.0;1.447;24.0;48.828;51.172
7;10.0;40.0;1.809;2.713;0.109;0.163;50.0;25.0;40.0;15.0;2.261;3.617;0.034;0.054;0.075;0.109;50.0;3.533;21.0;31.25;68.75
8;11.0;40.0;1.809;2.713;0.109;0.163;50.0;25.0;50.0;15.0;3.533;5.652;0.053;0.085;0.056;0.078;40.0;2.261;24.0;48.828;51.172
10;13.0;50.0;2.826;4.239;0.17;0.254;65.0;32.0;50.0;15.0;3.533;5.652;0.053;0.085;0.117;0.17;65.0;5.97;19.0;31.25;68.75
11;14.0;50.0;2.826;4.239;0.17;0.254;65.0;32.0;65.0;15.0;5.97;9.552;0.09;0.143;0.08;0.111;50.0;3.533;22.0;52.812;47.188
13;16.0;65.0;4.776;7.164;0.287;0.43;80.0;40.0;65.0;15.0;5.97;9.552;0.09;0.143;0.197;0.287;80.0;9.043;21.0;31.25;68.75
14;17.0;65.0;4.776;7.164;0.287;0.43;80.0;40.0;80.0;15.0;9.043;14.469;0.136;0.217;0.151;0.213;65.0;5.97;25.0;47.337;52.663
16;19.0;80.0;7.235;10.852;0.434;0.651;100.0;50.0;80.0;15.0;9.043;14.469;0.136;0.217;0.298;0.434;100.0;14.13;21.0;31.25;68.75
17;20.0;80.0;7.235;10.852;0.434;0.651;100.0;50.0;100.0;15.0;14.13;22.608;0.212;0.339;0.222;0.312;80.0;9.043;24.0;48.828;51.172
19;22.0;100.0;11.304;16.956;0.678;1.017;125.0;65.0;100.0;15.0;14.13;22.608;0.212;0.339;0.466;0.678;125.0;22.078;21.0;31.25;68.75
20;23.0;100.0;11.304;16.956;0.678;1.017;125.0;65.0;125.0;15.0;22.078;35.325;0.331;0.53;0.347;0.487;100.0;14.13;24.0;48.828;51.172
22;25.0;125.0;17.663;26.494;1.06;1.59;150.0;80.0;125.0;15.0;22.078;35.325;0.331;0.53;0.729;1.06;150.0;31.793;22.0;31.25;68.75
23;26.0;125.0;17.663;26.494;1.06;1.59;150.0;80.0;150.0;15.0;31.793;50.868;0.477;0.763;0.583;0.827;125.0;22.078;26.0;45.0;55.0
25;28.0;150.0;25.434;38.151;1.526;2.289;200.0;100.0;150.0;15.0;31.793;50.868;0.477;0.763;1.049;1.526;200.0;56.52;18.0;31.25;68.75
26;29.0;150.0;25.434;38.151;1.526;2.289;200.0;100.0;200.0;15.0;56.52;90.432;0.848;1.356;0.678;0.933;150.0;31.793;21.0;55.556;44.444
28;31.0;200.0;45.216;67.824;2.713;4.069;250.0;125.0;200.0;15.0;56.52;90.432;0.848;1.356;1.865;2.713;250.0;88.312;21.0;31.25;68.75
29;32.0;200.0;45.216;67.824;2.713;4.069;250.0;125.0;250.0;15.0;88.312;141.3;1.325;2.119;1.388;1.95;200.0;56.52;24.0;48.828;51.172
31;34.0;250.0;70.65;105.975;4.239;6.359;300.0;150.0;250.0;15.0;88.312;141.3;1.325;2.119;2.914;4.239;300.0;127.17;22.0;31.25;68.75
32;35.0;250.0;70.65;105.975;4.239;6.359;300.0;150.0;300.0;15.0;127.17;203.472;1.908;3.052;2.331;3.306;250.0;88.312;26.0;45.0;55.0
