;number;Dn_cold;Расход_min_cold, m3/h ;Расход_max_cold, m3/h;Qmin_cold, gcal/h;Qmax_cold, gcal / h;Dn_min_hot;Dn_max_hot;Расход_min_hot, m3/h ;Расход_max_hot, m3/h;Qmin_hot, gcal/h;Qmax_hot, gcal/h
1;1.0;50.0;2.826;4.239;0.057;0.085;40.0;50.0;2.261;3.617;0.057;0.09
2;2.0;50.0;2.826;4.239;0.057;0.085;50.0;50.0;3.533;5.652;0.088;0.141
3;3.0;65.0;4.776;7.164;0.096;0.143;65.0;65.0;5.97;9.552;0.149;0.239
4;4.0;80.0;7.235;10.852;0.145;0.217;65.0;80.0;5.97;9.552;0.149;0.239
5;5.0;80.0;7.235;10.852;0.145;0.217;80.0;80.0;9.043;14.469;0.226;0.362
6;6.0;100.0;11.304;16.956;0.226;0.339;80.0;100.0;9.043;14.469;0.226;0.362
7;7.0;100.0;11.304;16.956;0.226;0.339;100.0;100.0;14.13;22.608;0.353;0.565
8;8.0;125.0;17.663;26.494;0.353;0.53;100.0;125.0;14.13;22.608;0.353;0.565
9;9.0;125.0;17.663;26.494;0.353;0.53;125.0;125.0;22.078;35.325;0.552;0.883
10;10.0;150.0;25.434;38.151;0.509;0.763;125.0;150.0;22.078;35.325;0.552;0.883
11;11.0;150.0;25.434;38.151;0.509;0.763;150.0;150.0;31.793;50.868;0.795;1.272
12;12.0;200.0;45.216;67.824;0.904;1.356;200.0;200.0;56.52;90.432;1.413;2.261
